PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,Title,IsAlone,Age*Class
1,0,3,0,1,0,0,1,0,3
2,1,1,1,2,3,1,3,0,2
3,1,3,1,1,1,0,2,1,3
4,1,1,1,2,3,0,3,0,2
5,0,3,0,2,1,0,1,1,6
6,0,3,0,1,1,2,1,1,3
7,0,1,0,3,3,0,1,1,3
8,0,3,0,0,2,0,4,0,0
9,1,3,1,1,1,0,3,0,3
10,1,2,1,0,2,1,3,0,0
11,1,3,1,0,2,0,2,0,0
12,1,1,1,3,2,0,2,1,3
13,0,3,0,1,1,0,1,1,3
14,0,3,0,2,3,0,1,0,6
15,0,3,1,0,0,0,2,1,0
16,1,2,1,3,2,0,3,1,6
17,0,3,0,0,2,2,4,0,0
18,1,2,0,1,1,0,1,1,2
19,0,3,1,1,2,0,3,0,3
20,1,3,1,1,0,1,3,1,3
21,0,2,0,2,2,0,1,1,4
22,1,2,0,2,1,0,1,1,4
23,1,3,1,0,1,2,2,1,0
24,1,1,0,1,3,0,1,1,1
25,0,3,1,0,2,0,2,0,0
26,1,3,1,2,3,0,3,0,6
27,0,3,0,1,0,1,1,1,3
28,0,1,0,1,3,0,1,0,1
29,1,3,1,1,0,2,2,1,3
30,0,3,0,1,0,0,1,1,3
31,0,1,0,2,2,1,5,1,2
32,1,1,1,2,3,1,3,0,2
33,1,3,1,1,0,2,2,1,3
34,0,2,0,66,1,0,1,1,132
35,0,1,0,1,3,1,1,0,1
36,0,1,0,2,3,0,1,0,2
37,1,3,0,1,0,1,1,1,3
38,0,3,0,1,1,0,1,1,3
39,0,3,1,1,2,0,2,0,3
40,1,3,1,0,1,1,2,0,0
41,0,3,1,2,1,0,3,0,6
42,0,2,1,1,2,0,3,0,2
43,0,3,0,1,0,1,1,1,3
44,1,2,1,0,3,1,2,0,0
45,1,3,1,1,0,2,2,1,3
46,0,3,0,1,1,0,1,1,3
47,0,3,0,1,2,2,1,0,3
48,1,3,1,1,0,2,2,1,3
49,0,3,0,1,2,1,1,0,3
50,0,3,1,1,2,0,3,0,3
51,0,3,0,0,3,0,4,0,0
52,0,3,0,1,0,0,1,1,3
53,1,1,1,3,3,1,3,0,3
54,1,2,1,1,2,0,3,0,2
55,0,1,0,65,3,1,1,0,65
56,1,1,0,2,3,0,1,1,2
57,1,2,1,1,1,0,2,1,2
58,0,3,0,1,0,1,1,1,3
59,1,2,1,0,2,0,2,0,0
60,0,3,0,0,3,0,4,0,0
61,0,3,0,1,0,1,1,1,3
62,1,1,1,2,3,0,2,1,2
63,0,1,0,2,3,0,1,0,2
64,0,3,0,0,2,0,4,0,0
65,0,1,0,2,2,1,1,1,2
66,1,3,0,1,2,1,4,0,3
67,1,2,1,1,1,0,3,1,2
68,0,3,0,1,1,0,1,1,3
69,1,3,1,1,1,0,2,0,3
70,0,3,0,1,1,0,1,0,3
71,0,2,0,1,1,0,1,1,2
72,0,3,1,0,3,0,2,0,0
73,0,2,0,1,3,0,1,1,2
74,0,3,0,1,2,1,1,0,3
75,1,3,0,1,3,0,1,1,3
76,0,3,0,1,0,0,1,1,3
77,0,3,0,1,0,0,1,1,3
78,0,3,0,1,1,0,1,1,3
79,1,2,0,0,2,0,4,0,0
80,1,3,1,1,1,0,2,1,3
81,0,3,0,1,1,0,1,1,3
82,1,3,0,1,1,0,1,1,3
83,1,3,1,1,0,2,2,1,3
84,0,1,0,1,3,0,1,1,1
85,1,2,1,1,1,0,2,1,2
86,1,3,1,2,2,0,3,0,6
87,0,3,0,0,3,0,1,0,0
88,0,3,0,1,1,0,1,1,3
89,1,1,1,1,3,0,2,0,1
90,0,3,0,1,1,0,1,1,3
91,0,3,0,1,1,0,1,1,3
92,0,3,0,1,0,0,1,1,3
93,0,1,0,2,3,0,1,0,2
94,0,3,0,1,2,0,1,0,3
95,0,3,0,3,0,0,1,1,9
96,0,3,0,1,1,0,1,1,3
97,0,1,0,71,3,1,1,1,71
98,1,1,0,1,3,1,1,0,1
99,1,2,1,2,2,0,3,0,4
100,0,2,0,2,2,0,1,0,4
101,0,3,1,1,0,0,2,1,3
102,0,3,0,1,0,0,1,1,3
103,0,1,0,1,3,0,1,0,1
104,0,3,0,2,1,0,1,1,6
105,0,3,0,2,1,0,1,0,6
106,0,3,0,1,0,0,1,1,3
107,1,3,1,1,0,0,2,1,3
108,1,3,0,1,0,0,1,1,3
109,0,3,0,2,0,0,1,1,6
110,1,3,1,1,2,2,2,0,3
111,0,1,0,2,3,0,1,1,2
112,0,3,1,0,2,1,2,0,0
113,0,3,0,1,1,0,1,1,3
114,0,3,1,1,1,0,2,0,3
115,0,3,1,1,2,1,2,1,3
116,0,3,0,1,1,0,1,1,3
117,0,3,0,70,0,2,1,1,210
118,0,2,0,1,2,0,1,0,2
119,0,1,0,1,3,1,1,0,1
120,0,3,1,0,3,0,2,0,0
121,0,2,0,1,3,0,1,0,2
122,0,3,0,1,1,0,1,1,3
123,0,2,0,1,2,1,1,0,2
124,1,2,1,1,1,0,2,1,2
125,0,1,0,3,3,0,1,0,3
126,1,3,0,0,1,1,4,0,0
127,0,3,0,1,0,2,1,1,3
128,1,3,0,1,0,0,1,1,3
129,1,3,1,1,2,1,2,0,3
130,0,3,0,2,0,0,1,1,6
131,0,3,0,2,0,1,1,1,6
132,0,3,0,1,0,0,1,1,3
133,0,3,1,2,2,0,3,0,6
134,1,2,1,1,2,0,3,0,2
135,0,2,0,1,1,0,1,1,2
136,0,2,0,1,2,1,1,1,2
137,1,1,1,1,2,0,2,0,1
138,0,1,0,2,3,0,1,0,2
139,0,3,0,0,1,0,1,1,0
140,0,1,0,1,3,1,1,1,1
141,0,3,1,1,2,1,3,0,3
142,1,3,1,1,0,0,2,1,3
143,1,3,1,1,2,0,3,0,3
144,0,3,0,1,0,2,1,1,3
145,0,2,0,1,1,0,1,1,2
146,0,2,0,1,3,0,1,0,2
147,1,3,0,1,0,0,1,1,3
148,0,3,1,0,3,0,2,0,0
149,0,2,0,2,2,0,1,0,4
150,0,2,0,2,1,0,5,1,4
151,0,2,0,3,1,0,5,1,6
152,1,1,1,1,3,0,3,0,1
153,0,3,0,3,1,0,1,1,9
154,0,3,0,2,2,0,1,0,6
155,0,3,0,1,0,0,1,1,3
156,0,1,0,3,3,1,1,0,3
157,1,3,1,0,0,2,2,1,0
158,0,3,0,1,1,0,1,1,3
159,0,3,0,1,1,0,1,1,3
160,0,3,0,1,3,0,4,0,3
161,0,3,0,2,2,0,1,0,6
162,1,2,1,2,2,0,3,1,4
163,0,3,0,1,0,0,1,1,3
164,0,3,0,1,1,0,1,1,3
165,0,3,0,0,3,0,4,0,0
166,1,3,0,0,2,0,4,0,0
167,1,1,1,2,3,0,3,0,2
168,0,3,1,2,2,0,3,0,6
169,0,1,0,2,2,0,1,1,2
170,0,3,0,1,3,0,1,1,3
171,0,1,0,3,3,0,1,1,3
172,0,3,0,0,2,2,4,0,0
173,1,3,1,0,1,0,2,0,0
174,0,3,0,1,1,0,1,1,3
175,0,1,0,3,2,1,1,1,3
176,0,3,0,1,0,0,1,0,3
177,0,3,0,1,2,0,4,0,3
178,0,1,1,3,2,1,2,1,3
179,0,2,0,1,1,0,1,1,2
180,0,3,0,2,0,0,1,1,6
181,0,3,1,1,3,0,2,0,3
182,0,2,0,1,2,1,1,1,2
183,0,3,0,0,3,0,4,0,0
184,1,2,0,0,3,0,4,0,0
185,1,3,1,0,2,0,2,0,0
186,0,1,0,2,3,0,1,1,2
187,1,3,1,1,2,2,3,0,3
188,1,1,0,2,2,0,1,1,2
189,0,3,0,2,2,2,1,0,6
190,0,3,0,2,0,0,1,1,6
191,1,2,1,1,1,0,3,1,2
192,0,2,0,1,1,0,1,1,2
193,1,3,1,1,0,0,2,0,3
194,1,2,0,0,2,0,4,0,0
195,1,1,1,2,2,1,3,1,2
196,1,1,1,3,3,1,2,1,3
197,0,3,0,1,0,2,1,1,3
198,0,3,0,2,1,0,1,0,6
199,1,3,1,1,0,2,2,1,3
200,0,2,1,1,1,0,2,1,2
201,0,3,0,1,1,0,1,1,3
202,0,3,0,1,3,0,1,0,3
203,0,3,0,2,0,0,1,1,6
204,0,3,0,2,0,1,1,1,6
205,1,3,0,1,1,0,1,1,3
206,0,3,1,0,1,0,2,0,0
